INFO 2025-04-28 18:02:26,560 autoreload 11189 134736343902016 Watching for file changes with StatReloader
WARNING 2025-04-28 18:02:32,858 log 11189 134736264558272 Not Found: /
WARNING 2025-04-28 18:02:32,862 basehttp 11189 134736264558272 "GET / HTTP/1.1" 404 2650
WARNING 2025-04-28 18:02:33,078 log 11189 134736264558272 Not Found: /favicon.ico
WARNING 2025-04-28 18:02:33,079 basehttp 11189 134736264558272 "GET /favicon.ico HTTP/1.1" 404 2701
INFO 2025-04-28 18:02:35,506 basehttp 11189 134736264558272 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-04-28 18:02:35,839 basehttp 11189 134736264558272 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-04-28 18:02:36,033 basehttp 11189 134736256165568 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-04-28 18:02:36,040 basehttp 11189 134736246724288 "GET /static/admin/css/base.css HTTP/1.1" 200 22154
INFO 2025-04-28 18:02:36,041 basehttp 11189 134736264558272 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-04-28 18:02:36,072 basehttp 11189 134736256165568 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-04-28 18:02:36,073 basehttp 11189 134736246724288 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16632
INFO 2025-04-28 18:02:36,128 basehttp 11189 134736264558272 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-04-28 18:02:36,176 basehttp 11189 134736264558272 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-04-28 18:03:48,016 basehttp 11189 134736264558272 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-28 18:03:48,076 basehttp 11189 134736264558272 "GET /admin/ HTTP/1.1" 200 10664
INFO 2025-04-28 18:03:48,251 basehttp 11189 134736264558272 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-04-28 18:03:48,322 basehttp 11189 134736246724288 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-04-28 18:03:48,325 basehttp 11189 134736264558272 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-04-28 18:03:55,765 basehttp 11189 134736264558272 "GET /admin/base/property/ HTTP/1.1" 200 12916
INFO 2025-04-28 18:03:56,021 basehttp 11189 134736246724288 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-04-28 18:03:56,228 basehttp 11189 134736256165568 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-28 18:03:56,278 basehttp 11189 134736237283008 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-04-28 18:03:56,411 basehttp 11189 134736246724288 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-04-28 18:03:56,412 basehttp 11189 134736228890304 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-04-28 18:03:56,483 basehttp 11189 134736246724288 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-04-28 18:03:56,500 basehttp 11189 134736264558272 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-04-28 18:03:56,507 basehttp 11189 134736228890304 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-04-28 18:03:56,528 basehttp 11189 134736264558272 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-04-28 18:03:56,557 basehttp 11189 134736237283008 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-04-28 18:03:56,609 basehttp 11189 134736228890304 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-04-28 18:03:56,632 basehttp 11189 134736237283008 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-04-28 18:03:56,689 basehttp 11189 134736228890304 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-04-28 18:03:56,708 basehttp 11189 134736237283008 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-04-28 18:03:59,004 basehttp 11189 134736228890304 "GET /admin/base/room/ HTTP/1.1" 200 10877
INFO 2025-04-28 18:03:59,061 basehttp 11189 134736228890304 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-28 18:04:01,054 basehttp 11189 134736228890304 "GET /admin/base/auction/ HTTP/1.1" 200 13835
INFO 2025-04-28 18:04:01,107 basehttp 11189 134736228890304 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-28 18:04:02,474 basehttp 11189 134736228890304 "GET /admin/base/bid/ HTTP/1.1" 200 13016
INFO 2025-04-28 18:04:02,538 basehttp 11189 134736228890304 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-28 18:04:03,671 basehttp 11189 134736228890304 "GET /admin/base/media/ HTTP/1.1" 200 12892
INFO 2025-04-28 18:04:03,733 basehttp 11189 134736228890304 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
